BLOC,ETAGE ,UNITREF,TYPE,NUMBER OF ROOMS,SURFACE MEZZANINE,SURFACE BUREAU,TERRACE SURFACE,SURFACE COURT,Surface Total,Saleable Area Total,price per square meter,pkg,total price,2D PLAN,3D Axonometric,Additionnal
1,0,MAG1,Magasin,,50,97,,,147,122,"47,250",,"5,764,500",,,
1,0,MAG2,Magasin,,50,97,,,147,122,"47,250",,"5,764,500",,,
1,0,MAG3,Magasin,,43,87,,,130,108.5,"47,250",,"5,126,625",,,
1,0,MAG4,Magasin,,30,59,,,89,74,"47,250",,"3,496,500",,,
1,0,MAG5,Magasin,,27,55,,,82,68.5,"47,250","70,000","3,306,625",,,
1,0,B01,Bureaux,,,76,,8,84,80,"21,000","70,000","1,750,000",,,
1,0,B02,Bureaux,,,72,,8,80,76,"21,000","70,000","1,666,000",,,
1,0,B03,Bureaux,,,81,,8,89,85,"21,000","70,000","1,855,000",,,
1,0,B04,Bureaux,,,62,,8,70,66,"21,000","70,000","1,456,000",,,
1,1,B05,Bureaux,,,78,,5,83,80.5,"23,100","70,000","1,929,550",,,
1,1,B06,Bureaux,,,65,,0,65,65,"23,100","70,000","1,571,500",,,
1,1,B07,Bureaux,,,67,,0,67,67,23100,"70,000",1617700,,,
1,1,B08,Bureaux,,,91,,0,91,91,23100,"70,000",2172100,,,
1,1,B09,Bureaux,,,92,,8,99.5,95.75,23100,"70,000",2281825,,,
1,1,B10,Bureaux,,,59,,38,96.5,77.75,22050,"70,000",1784387.5,,,
1,1,B11,Bureaux,,,53,,29,82,67.5,22050,"70,000",1558375,,,
1,1,B12,Bureaux,,,60,,56,116,88,22050,"70,000",2010400,,,
1,1,B13,Bureaux,,,53,,14,67,60,22050,"70,000",1393000,,,
1,2,B14,Bureaux,,,78,0,,78,78,23625,"70,000",1912750,,,
1,2,B15,Bureaux,,,65,0,,65,65,23625,"70,000",1605625,,,
1,2,B16,Bureaux,,,67,0,,67,67,23625,"70,000",1652875,,,
1,2,B17,Bureaux,,,91,0,,91,91,23625,"70,000",2219875,,,
1,2,B18,Bureaux,,,92,0,,92,92,23625,"70,000",2243500,,,
1,2,B19,Bureaux,,,59,0,,59,59,22575,"70,000",1401925,,,
1,2,B20,Bureaux,,,51,0,,51,51,22575,"70,000",1221325,,,
1,2,B21,Bureaux,,,60,0,,60,60,22575,"70,000",1424500,,,
1,2,B22,Bureaux,,,53,0,,53,53,22575,"70,000",1266475,,,
1,3,B23,Bureaux,,,78,0,,78,78,24150,"70,000",1953700,,,
1,3,B24,Bureaux,,,65,0,,65,65,24150,"70,000",1639750,,,
1,3,B25,Bureaux,,,67,0,,67,67,24150,"70,000",1688050,,,
1,3,B26,Bureaux,,,91,0,,91,91,24150,"70,000",2267650,,,
1,3,B27,Bureaux,,,92,0,,92,92,24150,"70,000",2291800,,,
1,3,B28,Bureaux,,,55,0,,55,55,23100,"70,000",1340500,,,
1,3,B29,Bureaux,,,43,0,,43,43,23100,"70,000",1063300,,,
1,3,B30,Bureaux,,,53,0,,53,53,23100,"70,000",1294300,,,
1,3,B31,Bureaux,,,49,0,,49,49,23100,"70,000",1201900,,,
1,4,B32,Bureaux,,,108,55,,163,163,24675,"70,000",3413462.5,,,
1,4,B33,Bureaux,,,65,20,,85,85,24675,"70,000",1920625,,,
1,4,B34,Bureaux,,,67,28,,95,95,24675,"70,000",2068675,,,
1,4,B35,Bureaux,,,91,30,,121,121,24675,"70,000",2685550,,,
1,4,B36,Bureaux,,,117,30,,147,147,24675,"70,000",3327100,,,
1,5,B37,Bureaux,,,108,0,,108,108,25200,"70,000",2791600,,,
1,5,B38,Bureaux,,,65,0,,65,65,25200,"70,000",1708000,,,
1,5,B39,Bureaux,,,67,0,,67,67,25200,"70,000",1758400,,,
1,5,B40,Bureaux,,,91,0,,91,91,25200,"70,000",2363200,,,
1,5,B41,Bureaux,,,117,0,,117,117,25200,"70,000",3018400,,,
